Job,Machine,Reticle,Transfer,Setup,Start,Processing,End,Position,Reticle_usage
0,4,2,2,2,41,4,45,0,1
1,0,3,4,0,90,2,92,0,3
2,0,7,3,2,41,4,45,0,2
3,2,7,3,3,83,5,88,0,1
4,3,7,4,2,25,2,27,0,1
5,2,8,3,4,95,2,97,0,5
6,3,7,0,0,27,4,31,0,6
7,0,3,3,4,84,2,86,0,1
8,3,6,4,4,93,2,95,0,4
9,0,2,4,3,52,2,54,0,9
10,0,6,4,4,14,2,16,0,6
11,1,3,4,2,74,2,76,0,8
12,0,4,3,4,75,2,77,0,7
13,0,0,0,0,102,3,105,0,2
14,1,3,2,2,12,3,15,0,8
15,3,3,4,2,6,2,8,0,8
16,4,5,2,3,67,3,70,0,1
17,4,1,0,0,60,2,62,0,8
18,3,7,4,4,75,2,77,0,6
19,0,7,4,4,62,2,64,0,6
20,0,2,3,3,24,2,26,0,9
21,2,9,0,4,12,2,14,0,8
22,1,6,2,4,22,5,27,0,1
23,4,1,2,4,58,2,60,0,1
24,3,2,4,4,65,2,67,0,9
25,1,9,0,0,92,5,97,0,8
26,2,2,4,3,33,3,36,0,9
28,1,4,0,2,39,2,41,0,5
29,4,9,2,2,74,2,76,0,8
30,0,0,3,4,99,3,102,0,1
31,3,4,0,3,100,4,104,0,1
32,3,4,4,2,14,5,19,0,1
33,4,1,4,4,92,3,95,0,8
34,4,7,3,2,50,2,52,0,6
36,2,6,2,4,58,2,60,0,6
37,3,4,4,2,83,2,85,0,7
38,2,9,2,3,102,2,104,0,1
39,4,4,2,2,24,3,27,0,7
40,3,6,0,0,95,2,97,0,6
42,1,4,4,4,35,2,37,0,1
43,0,8,3,2,34,2,36,0,1
44,2,0,0,4,64,3,67,0,3
45,3,8,4,2,42,5,47,0,1
46,1,4,0,2,66,2,68,0,7
47,1,9,4,3,88,4,92,0,3
48,2,1,2,4,48,4,52,0,8
49,2,3,2,3,20,2,22,0,1
